Restaurant Name,Original food Item
Quinn's,Classic Salsa
Pretzelmaker,"Cinnamon Sugar Pretzel Bites, Large"
Our Family,"Pudding and Pie Filling, Instant, Vanilla"
Tasti D-Lite,"Pecan Praline - Vanilla Soft Serve, 3 oz (Gallon Recipe)"
Duchess Shoppe,44 oz Mountain Dew
Harris Teeter,"Cheese, Colby Jack"
Blizz Frozen Yogurt,Pecan Praline Frozen Yogurt
Del Monte,Pure Earth Pineapple Lime Juice
Ameci Pizza & Pasta,Chicken Caesar Salad
241 Pizza,"Meat Lovers Pizza, Small Slice"
White Mountain,Kettle Corn
Portillo's,"Diet Coke, Small"
Roy Rogers Restaurants,Gold Rush Sandwich
Weight Watchers,Multigrain Flat Rolls
Koyo,Garlic & Pepper Ramen Noodles
De Dutch Pannekoek House,Grilled 3 Cheese & Tomato
The Pickle Barrel,Morrocan Cigars
World of Beer,Steak Fries
Vocelli Pizza,Chicken Florentine Sub on Italian
Blimpie,"Mtn Dew Code Red, 28 oz"
Regal Springs,Tilapia Fillets
Tijuana Flats,"Taco Filling, Red Chicken and Black Beans (1 taco)"
Cold Stone Creamery,"French Vanilla Ice Cream, Love It"
Emerils,Home Style Marinara Pasta Sauce
Merzi,Create your own Rice Bowl
Yogli Mogli,Carrot Cake
Safeway Select,Iced Coffee Latte
Just Fresh,"Smoothies, Strawberry Banana Bomb"
Coffee Culture,Power-Up Fresh Fruit & Yogurt Cup
Lifeway,"Lowfat Kefir Probiotic, Blueberry"
Chickpea,Black Beans
Pretzelmaker,Pretzel Dog
Drew's,Romano Caesar Dressing & Quick Marinade
A&W (Canada),"Bone-In Chubby Chicken, Rib"
Protein House,"Snickers Hot Coffee, 24 oz with Milk Choice Skim Milk"
Bimbo,"Cookies, Marshmallow"
Harris Teeter,"Trail Mix, Tropical"
De Dutch Pannekoek House,"Omelette, Meat Lovers with Fruit"
DiGiorno,"Pizza, Garlic Bread, Supreme"
Emerils,Roasted Garlic Alfredo Sauce
Jack Astor's Bar & Grill,"Chicken Wings, Buffalo Sauce, Mild"
Earls,Bibimbap Bowl And Prawns
Sadaf,Yellow Split Peas Vegetarian Casserole
Dell Alpe,"Red Peppers, Italian Style Sweet"
Yogli Mogli,Pumpkin
Tim Horton's,"Iced Coffee (with Cream & Sugar), Small"
Silver Mine Subs,"Soy Sauce, Scoop"
Cereality,Golden Grahams
Coffee Time,Apple Fruit Sticks
Cook's,Smoked Pork Chops
Baton Rouge Steakhouse & Bar,Caesar Salad with garlic cheese toast
Crazy Bowls & Wraps,Mediterranean Bowl - Small
Golden Spoon Frozen Yogurt,Fresh Blueberry Frozen Yogurt
Safeway Select,"Fig Bars, Original"
Roti,Kalmata Olives
DiGiorno,"Buffalo Style Chicken Pizza, Cheese Stuffed Crust"
Yoshinoya,No Calorie Brisk Green Tea with Peach
Pampa,Herring Fillets in Mustard Sauce
KA-ME,"Rice Crackers, Sesame"
Happy Joe's,"Cheese Original Crust Pizza, 15 inch"
Duck Donuts,"Bagel, Blueberry Bagel With Cream Cheese"
A&W (Canada),2% Milk
Sally's,Berry Colossal Crunch
Jack Astor's Bar & Grill,Pad Thai Noodle Bowl
Horizon,"Organic Lowfat Milk, Vanilla"
Kaizen,Strawberry Creme Ultra Whey Whey Protein Isolate
Buddy's Bar-b-q,Pickles
Perkins Restaurant And Bakery,Cocktail Sauce
Yoshinoya,Grilled Steak Only
Baskin Robbins,"Honey Almond Greek Frozen Yogurt, 4 oz Scoop"
Quaker Steak & Lube,Custom Built Combo Grilled Boneless Wings with Wing Sauce Choice Hot
KA-ME,"Straw Mushrooms, Whole, Peeled"
Rizzo's,Cheese Tortellini
Roy Rogers Restaurants,Pancakes
Our Family,"Pie Filling, Blueberry"
Safeway Select,"Madeleines, Lemon"
Northern Chef,"Shrimp, Raw White Peeled & Deveined"
Our Family,"Pie Filling, Cherry"
Tropical Smoothie Cafe,"Diet Coke, 20 fl oz"
Purebread Deli,Lobster Bisque
TacoTime,Crisp Pinto Bean Burrito
Tyson,"Chicken, Thighs"
241 Pizza,"BBQ Chicken Pizza, Medium Slice"
Harris Teeter,Organic White Corn Tortilla Chips
Taco Bell Canada,Fresco Beef Soft Taco
Drew's Organics,"Dressing & Quick Marinade, Romano Caesar"
Cafe Zupas,"Strawberry Champagne Vinaigrette, Large"
Pampa,"Kipper Snacks, Herring Fillet"
Roti,Cilantro
Happy Joe's,"Black Olives Original Crust Pizza, 6 inch"
Del Monte,Fruit Cocktail
De Dutch Pannekoek House,"Omelette, Plain"
White Spot Restaurants,"Our Famous Burgers, Fries"
Colman's,Shepherd's Pie
Horizon,Organic Cheddar Cheese & Pretzels
Uncle Ben's,"Risotto, Mushroom"
Protein House,"Caramel Macchiato Coffee, 24 oz with Flavor Choice Sugar Free Hazelnut Flavor"
Baton Rouge Steakhouse & Bar,Chicken Diablo Soup
Charley's Philly Steaks,"Dr. Pepper, Regular"
Burrito Boyz,Tomatoes
East Side Mario's,"Pepperoni, Large Pizza Topping"
Bimbo,"Bread, Whole Grain, White"
Delmonico's Restaurant,Sweet Miso Marinade
Dare,"Bear Paws Morning Snack, Cereal & Blueberry Yogurt"
Drew's,Honey Dijon Dressing
Jamba,"Pomegranate Paradise Smoothie, 22 fl. oz."
Silver Mine Subs,Golden Italian Dressing
Charley's Philly Steaks,Cajun Rub Boneless Chicken
Golden Spoon Frozen Yogurt,Eggnog Frozen Yogurt
Pretzelmaker,"Salted Pretzel Bites, Small"
Portillo's,Tuna Salad Bowl
Frullati Cafe & Bakery,"Watermelon Strawberry Chiller, Medium"
Moe's Southwest Grill,"Breakfast Bowl, Chicken Chilaquiles"
Kaizen Naturals,Vanilla Ice Cream
Cracker Barrel,Sharp White Cheddar Macaroni & Cheese Dinner
Quaker Steak & Lube,"Grilled Boneless Wings, 12 (4 servings) with Wing Sauce Choice Smoked Jalapeno Honey"
Back Yard Burgers,Classic Turkey Burger
Natural Sea,Chunk Light Yellowfin Tuna
Tropical Smoothie Cafe,Southwest Wrap
Tijuana Flats,"Kids Taco Topping, Lettuce"
A&W (Canada),BLT Chicken Burger
Emeril's,Creole Creations Clam Chowder
Gandy's,"Dip, Green Chile"
Concord Foods,"Smoothie, Tropical Mango"
Pampa,"Sweet Red Peppers, Fire Roasted"
Sally's,"Home Puffed Delight, Cereals"
Pretzelmaker,Unsalted Pretzel
Merzi,Chickpeas
Roy Rogers Restaurants,"Sausage, Egg & Cheese Sandwich on Crescent"
Merci,Assorted Chocolates
Nick-N-Willy's Pizza,"Garden Veggie Pizza, Family"
Bruster's Real Ice Cream,"Chocolate Peppermint Ice Cream in a Dish, Small"
The Perfect Pita Grocery,Pita Pockets
Good Times Burgers & Frozen Custard,"Caramel Toffee Spoonbender, Medium"
Crazy Bowls & Wraps,Bean & Veggie Bowl - Small
Green Beans Coffee,Mixed Berry Muffin
Cold Stone Creamery,Sliced Almonds
Northern Chef,Fiji Albacore Tuna
Yogli Mogli,Cookies N Cream
Bruster's Real Ice Cream,"Pumpkin Yogurt on a Waffle Cone, Large"
Blimpie,"Lipton Brewed Iced Tea Green Tea with Citrus, 16 oz"
Taco Bueno,#8 Nacho Salad Beef Combo with Low Cal Drink
DiGiorno,"Pizza, Rising Crust, Pepperoni"
Merci,Dark Chocolate72%
Mimi's Cafe,Iced Mocha with Hazelnut
Tai Pei,Orange Chicken
Baton Rouge Steakhouse & Bar,Louisiana Spinach Dip
Elmans,Whole Dill Pickles With Garlic
Furr's Family Dining,Red Velvet Layer Cake
Sakata,Cheddar Cheese Flavour Rice Crackers
Horizon,"Organic Dairy Creamer, French Vanilla"
Furr's Family Dining,Rotisserie-Style Chicken
Dare,"Water Crackers, Original"
Dee's,Super Cereal
Coffee Culture,"Americano, Small"
Dare,"Bear Paws Soft Cookies, Brownie"
Frullati Cafe & Bakery,Flatbread
Pepperjax Grill,Kid's Mandarin Oranges In Juice
TacoTime,"Super Soft Taco, Seasoned Beef"
Christie's Crispies,Mediterranean Flatbread Crackers
Whitey's Ice Cream,Cup O' Joe Espresso
Tender Bison,Steak Tips
Cereality,"Frosted Mini Wheats, Bite Size"
Back Yard Burgers,Chili Cheese Fries - Large (using waffle fries)
The Habit Burger Grill,Strawberry Shake with Whipped Cream
Safeway Select,Cheese & Bacon Stuffed Potatoes
Kenny's,Key Lime Pie
Cork's,"Kettle Corn, Caramel"
Krispy Kreme,Glazed Chocolate Cake Doughnut Holes
Bruster's Real Ice Cream,"Sea Salt Caramel No Sugar Added Ice Cream in a Dish, Regular"
Tropical Smoothie Cafe,Three Cheese Chicken Quesadilla
Back Yard Burgers,"Mountain Dew, Large, 32 oz."
Back Yard Burgers,Peach Cobbler A La Mode
Safeway Select,"Fried Rice, Vegetable"
Mimi's Cafe,Mocha Latte with Sugar Free Vanilla
Green Beans Coffee,"House Coffee, 24 oz"
Burrito Boyz,Three Sweet Potato Tacos
Perkins Restaurant And Bakery,Quails Gate Pinot Noir
Just Fresh,"Pasta, Chef"
Chick-fil-A,"Bacon, Protein Only"
KA-ME,"Hokkien Noodles, Peanut Satay"
Concord Foods,"Smoothie Mix, Tropical Pineapple"
Ameci Pizza & Pasta,Chef Salad
Vocelli Pizza,Turkey Bacon Cheddar Sub on Italian
Uncle Ben's,"Ready Whole Grain Medley Pouch, Roasted Garlic"
A&W (Canada),Sausage & Cheddar on English Muffin
Purebread Deli,Bacon
Our Family,"Jalapenos, Sliced"
Furr's Family Dining,Furr's Classic Fried Chicken
Just Fresh,Small Kale Yeah Salad
Perkins Restaurant And Bakery,"Build Your Own Omelet, Shredded Pepper Jack Cheese"
Moxie's Classic Grill,Citrus Arugula Salad
Triple O's,"Sausage Sandwich on Ciabatta, without Sauce"
Nalley Fresh,Nalley Fiesta Salad
241 Pizza,"Meat Lovers Pizza, Large Slice"
Kirkwood,Chicken Breast Tenderloins
Pretzelmaker,"Strawberry Lemonade, Small"
East Side Mario's,"Gorgonzola Cheese, Large Pizza Topping"
Emeril's,"Dip Mix, Party, Guacamole"
Taco Bell Canada,7-Layer Burrito - Steak
241 Pizza,Garlic Bread with Cheese
Chickpea,Beets
Tasti D-Lite,"Black Forest Cake - Chocolate Soft Serve, 3 oz (Gallon Recipe)"
Taco Bueno,Beef Big Freak'N Nachos
Blimpie,"Gluten-free Bread, Large"
Jamba,"Protein Berry Workout Smoothie with Soy Protein, 28 fl. oz."
Back Yard Burgers,Mushroom Swiss Burger
Tom's,"Potato Chips, Hot Buffalo Wing"
Thundercloud Subs,"Roast Beef & Avocado Sub, Large"
Purebread Deli,Honey Mustard Dressing
Roy Rogers Restaurants,"Sausage, Egg & Cheese Sandwich on Biscuit"
Taco Bell Canada,Fresco Chicken Soft Taco
Sea Pak Shrimp Co.,"Shrimp, Jumbo Butterfly"
Good Times Burgers & Frozen Custard,Mac & Cheese with Green Chile
Sobeys,Chocolate Chip Cookie
Tropical Smoothie Cafe,Pea Protein Powder
Just Fresh,"Grits, Bowl"
Purebread Deli,"Coffee Decaf, Large"
Portillo's,Strawberry Smoothie
Tony Roma's,"Extra Meaty Baby Back Pork Ribs, Sweet & Smoky"
Tyson,Honey Garlic Flavored Chicken Wings
Silver Mine Subs,White Bread for Large Sub
Natural Sea,Red Sockeye Salmon
Green Beans Coffee,"House Coffee, 12 oz"
Magic Wok,Curry Tofu
Concord Foods,"Salad Topping, Original"
Yogli Mogli,Mango Tango Sorbet
Boneheads,Medium Wings
Crazy Bowls & Wraps,Teriyaki Lettuce Wrap
Boneheads,Medium Piri
Yogli Mogli,Mint
Frullati Cafe & Bakery,"Lemon Strawberry Chiller, Small"
Baskin Robbins,"Made With M&M's 31 Below, Small"
KA-ME,Brown Rice Crisps Teriyaki
Tasti D-Lite,"Caramel Fudge - Chocolate Soft Serve, 10 oz (Gallon Recipe)"
Drew's,Roasted Red Pepper Dressing & Quick Marinade
Rushing Waters Fisheries,Hickory Smoked Salmon
Mike's Restaurants,2 Eggs Any Style
Horizon,"Organic Milk, Reduced Fat"
Protein House,Sexy Bitch Bowl with White Rice
Baskin Robbins,"Coke Float (With Vanilla Ice Cream), Small"
Coffee Time,Chocolate Chip Cookie
Nalley Fresh,Californian Wrap
Baskin Robbins,"Chocolate Chip Ice Cream, 2.5 oz Scoop"
Baskin Robbins,"Icing On The Cake Ice Cream, 4 oz Scoop"
Whitey's Ice Cream Grocery,"Ice Cream, Moose Tracks"
Tasti D-Lite,"Coffee 'n Cream - Vanilla Soft Serve, 3 oz (Gallon Recipe)"
Concord Foods,"Mushroom Batter, Tempura Style"
Our Family,"Fancy Shredded Cheese, Colby & Monterey Jack"
Happy Joe's,"Onion Original Crust Pizza, 6 inch"
Charley's Philly Steaks,Nashville Hot Classic Chicken
Cracker Barrel,"Macaroni & Cheese Dinner, Sharp Cheddar"
The Pickle Barrel,Bagel with Chopped Egg Salad
Bruster's Real Ice Cream,"Chocolate Marshmallow Ice Cream in a Dish, Regular"
Taco Bell Canada,Beef Soft Taco Supreme
Tropical Smoothie Cafe,Tropical Chicken Salad Pressed Sandwich
Portlock,Smoked Sockeye Salmon Fillet
Golden Spoon Frozen Yogurt,French Vanilla Frozen Yogurt
DiGiorno,Rising Crust Pizza
Rice King,Brown Jasmine Rice
Yoshinoya,Kid's Meal - Beef
Baton Rouge Steakhouse & Bar,Decadent Chocolate Walnut Brownie
Lion's Choice,"Original Roast Beef Sandwich, No Butter"
Our Family,"Pie Crust, Graham Cracker"
Mimi's Cafe,"Sandwiches, French Dip with Side House Salad"
241 Pizza,Ranch Dipping Sauce
Mike's Restaurants,"Spaghettini Bolognese, Regular Serving"
White Spot Restaurants,Breakfast Quesadilla
Pepperjax Grill,Beef Mushroom Gravy
Shaner's,Chicken Fries
Tom's,Fat Free Skim Milk
Coffee Culture,Turkey Avocado
World of Beer,BYO Burger with Garlic Aioli
Christie's,"Chocolate Sandwich Cookies, Double Stuff Oreo, Double Creme"
Tropical Smoothie Cafe,"Coca-Cola, 20 fl oz"
Chickpea,Chicken Shawarma
Bimbo,Creme Sandwich Cookies
Concord Foods,Caramel Dip
Betty Crocker,"Cookie Mix, Chocolate Chip"
Mrs. Friday's,"Stuffed Shrimp, Gourmet Breaded"
Tropical Smoothie Cafe,"Kids Jetty Junior Smoothie, 12 oz"
Cold Stone Creamery,"Mocha Ice Cream, Like It"
Chick-fil-A,"Coffee, Small"
Portillo's,Tuscan Chicken And Bacon Salad
Bimbo,"Pound Cake, Raisin"
Manny's,Corn Bread
Charley's Philly Steaks,Angry Ghost Boneless Chicken
Casey's General Stores,"Trail Mix, Cajun"
Frullati Cafe & Bakery,Classic Caesar Salad
Blimpie,"Gold Peak Premium Unsweetened Tea, 12 oz"
Thundercloud Subs,"Austin Club Sub, Small"
Portillo's,Onion Rings
Tropical Smoothie Cafe,Half Tropical Chicken Salad Pressed Sandwich
Tai Pei,Edamame
Concord Foods,"Seasoning Mix, Original, Roasted Potato"
Baton Rouge Steakhouse & Bar,Garlic Mashed Potato
East Side Mario's,"Provolone, Large Pizza Topping"
Krispy Kreme,"Cappuccino with Skim Milk, 16 fl oz"
Back Yard Burgers,"Lemonade, Large, 32 oz."
Nick-N-Willy's Pizza,"Cheese Pizza, Personal"
Coyo,Coconut Milk Yogurt Alternative
Quaker Steak & Lube,Bucket of Breaded Boneless Wings (10 servings) with Wing Sauce Choice Boom Boom
Thundercloud Subs,"Roast Beef Sub, Large"
Charley's Philly Steaks,"Baked Beans, Regular"
Planet Wings,Chicken BLT Avocado Salad
Familia,Swiss Muesli
Charley's Philly Steaks,Sweet Teriyaki Boneless Chicken
Happy Joe's,"Taco Joe Original Crust Pizza, 6 inch"
High Liner,Wild Pacific Salmon
Jamba,"Apple 'N Greens Smoothie, 28 fl. oz."
Mike's Restaurants,"Chicken Wings, 12 Piece"
Pizza Pizza,"Gluten Free Pizza Slice, New York Pepperoni"
Planet Smoothie,"Lunar Lemonade Strawberry Smoothie, 22 oz"
Pepperjax Grill,"Loaded Nachos, Spicy Italian Sausage"
Chick-fil-A,Greek Yogurt Parfait with Granola
Tabatchnick,Minestrone Soup
Mike's Restaurants,"House Salad without Dressing, Meal"
Sail,Cooked Shrimp
Chapa's,"Pork Cracklins, Lemon & Chili Flavor"
Bimbo,"Mini Vanilla Cakes, Family Pack"
Planet Wings,Zinfandel Garden Salad
Sadaf,Red Kidney Beans
World of Beer,Spring Greens and Kale Salad with Grilled Flat Iron Steak
Perkins Restaurant And Bakery,Diet Coke
Uncle Ben's,Wholegrain & Wild Rice & Gains
Planet Wings,Nachos with Cheddar
Thundercloud Subs,"N.Y. Italian Sub, Large"
Purebread Deli,"Sierra Mist, Small"
Wow Bao,Mongolian Style Bao Spicy Beef
Bruster's Real Ice Cream,"Coffee Toffee Ice Cream in a Dish, Small"
Earls,Salmon Zen Bowl
Maninis,"Pasta Fresca, Roasted Garlic Fettuccini"
Merzi,Beef
Christie's,Fig Newtons
Krispy Kreme,"Iced Hazelnut Latte with 2% Milk, 16 fl oz"
Ninety Nine Restaurants,"99 Guacamole, Side"
Uncle Ben's,Instant Rice
Moxie's Classic Grill,French Toast
Coffee Culture,"Tomato Roasted Red Pepper Bisque With Gouda, Entree"
Pepperjax Grill,"Milk, Chocolate 2%"
Hyson,Farmer's Style Cheese
Ninety Nine Restaurants,"99 Gluten Sensitive House Salad, Side (No Dressing)"
Frullati Cafe & Bakery,"Grilled Italiano Panini Sandwich, Flatbread"
Safeway Select,Winter Wonderland Trail Mix
Coffee Culture,Very Berry Strudel
Henny Penny,Part Skim Ricotta
Roy Rogers Restaurants,"Apple Juice, 10 oz"
Vocelli Pizza,Cannoli
A&W (Canada),Root Beer Lollipops
Lion's Choice,Seasonal Cole Slaw
Sadaf,"Couscous, Original"
Port of Subs,Classic Sub #5 - 24 inch X-Large
Horizon,"Snack Crackers, Cheddar"
Duck Donuts,"Bagel, Egg And Cheese"
Blimpie,"A&W Root Beer, 28 oz"
Blimpie,"Coca-Cola, 16 oz"
Earls,Cream Of Mushroom Soup
Vocelli Pizza,Chicken Pesto Pasta with Penne - Single
Duck Donuts,"Sweet Tea, Small"
Back Yard Burgers,"Tropicana Twister, Orange, Large, 32 oz."
Nalley Fresh,Classic Garden Wrap
Mike's Restaurants,"Seafood Linguini, Moderate Serving"
Roti,"Fresh Mint Black Tea, 16 oz"
Moxie's Classic Grill,The Blackened Chicken Burger
Bruster's Real Ice Cream,"Chocolate No Sugar Added Ice Cream on a Waffle Cone, Large"
Weight Watchers,"Bagels, Original"
Back Yard Burgers,Black & Bleu Burger
Tijuana Flats,"Salad Topping, Jalapenos"
Yoshinoya,Asian BBQ Wings - 4 piece
Russo's New York Pizzeria,"Cauliflower Pizza 12 inch, Slice"
Safeway Select,"Cappuccino, French Vanilla"
Crazy Bowls & Wraps,Teriyaki Bowl - Small
Del Monte,"Citrus Salad, in Extra Light Syrup"
Mimi's Cafe,Iced Mocha with White Peach Flavor
Tasti D-Lite,"Chocolate Mousse - Chocolate Soft Serve, 10 oz (Custom Blend)"
Portlock,Pacific Salmon
Crazy Bowls & Wraps,Lobster Rangoon
Pampa,"Asparagus Spears, Grilled & Marinated"
White Spot Restaurants,"Our Famous Burgers, Sweet Potato Fries"
Mike's Restaurants,French Toast with Maple Syrup
Back Yard Burgers,"Shake, Strawberry"
Protein House,Acai Nutty Butter Smoothie
Pretzelmaker,"Raspberry Lemonade, Large"
TacoTime,"Egg and Cheese Burrito, Regular"
Wild Oats Marketplace Organic,Mac & Cheese with Chicken
Good Times Burgers & Frozen Custard,Southwestern Black Bean Burger
Sadaf,Bulghur
Happy Joe's,"Fire-Roasted Vegetables Pan Crust Pizza, 15 inch"
Happy Joe's,"Hawaiian Original Crust Pizza, 6 inch"
Good Times Burgers & Frozen Custard,"Oregon Blackberry Shake, Large"
Wild Oats Marketplace Organic,Sweet Peas
Wienerschnitzel,"Old Fashioned Sundae, Caramel"
Tropical Smoothie Cafe,Blueberry Bliss Smoothie
Tender Bison,All Natural Ranch Steak
The Habit Burger Grill,Wheat Bun
DiGiorno,"Rising Crust, Three Meat"
Duke's,"Smoked Shorty Sausage, Chorizo & Lime"
YoCream,Pistachio Gelato
Kirkwood,Caribbean Jerk Chicken
Christie's,Oreo Sandwich Cookie
Rice King,Multi Grain Rice
Lifeway,"Protein Kefir Smoothie, Vanilla"
Pampa,Chunk Light Tuna
Just FreshDirect,Thin Crust Cheese Pizza
Ninety Nine Restaurants,99 Little Midnight Fudge Hero
Yoshinoya,Brisk Raspberry Sweetened Iced Tea
Mike's Restaurants,"Three Meats Countryside Platter, 2 Eggs"
Good Times Burgers & Frozen Custard,"Vanilla Shake, Small"
Taco Bueno,Mountain Dew 30oz
Tai Pei,General Tso's Chicken
Thundercloud Subs,"Turkey Low-Fat Sub, Small"
Nick-N-Willy's Pizza,"Outback Pizza, Personal"
Dare,"Bear Paws, Cereal & Raspberry"
De Dutch Pannekoek House,"Omelette, Boeres with Salad"
Port of Subs,"Bacon, Egg and Cheese - 5 inch Small"
Purebread Deli,Caesar Dressing
Weight Watchers,"Brownie, Salted Caramel"
Tai Pei,"Spring Rolls, Mini Vegetable"
Burrito Boyz,XXX Hot Sauce
Quaker Steak & Lube,"Breaded Boneless Wings, 100 (30 servings) with Wing Sauce Choice Parmesan Pepper"
Dari,Pearled Couscous
Planet Wings,Hot BBQ Sauce
Bruster's Real Ice Cream,"Peach Melba Ice Cream on a Cake Cone, Large"
Polock Johnny's,Polish Sausage
Rushing Waters,"Salmon Burger, Chipotle"
Wedderspoon,"Manuka Honey Plus Vitality, Vanilla Almond with Sunflower Seedbutter"
Wow Bao,"Hot Asian Buns, Teriyaki Chicken Bao"
Koyo,Brown Rice Cakes
Wild Oats Marketplace,Whole Kernel Corn
Moxie's Classic Grill,The Classic Beef Burger
Mimi's Cafe,Berry Griddlecakes with Hickory Smoked Ham
Pretzelmaker,"Diet Coke, Small"
Taco Bell Canada,Chicken Quesadilla
Dare,"Cookie Chips, Chocolate Chip"
Garden Fresh Gourmet,Jack's Special Medium Salsa
Kenny's,Gummy Bear
Jamba,Sherbet with Lime
High Liner,"Signature Cuts Crispy Breaded Fillets, Wild Caught Cod"
Moxie's Classic Grill,"Prosciutto, Braised Beef & Pan Pizza"
